개설학년,과목코드,과목명,분반,이수구분,교원명,학점,이론,실습,시간표,비고
1,NC1000,선형대수,1,전선,한수영,3,1,2,"화(5,6,7) 수봉관(F)-903",
1,NC2001,인공지능개론,1,전선,정의현,3,1,2,"목(2,3,4) 수봉관(F)-903",
2,NC4001,데이터분석개론,1,전선,박남훈,3,1,2,"화(1,2,3) 수리관(F)-402",타과제한
2,NC4000,컴퓨터비전,1,전선,한수영,3,1,2,"금(5,6,7) 수봉관(F)-903",타과제한
2,NC4003,통계기반분석,1,전선,이중경,3,1,2,"월(7) 목(5,6) 수리관(F)-502",타과제한
2,NC4004,풀스택프로그래밍,1,전선,정의현,3,1,2,"수(2,3,4) 수리관(F)-402",타과제한
3,NC6004,AI융합캡스톤디자인,1,전선,양선욱,3,1,2,"목(2,3,4) 수리관(F)-402",타과제한
3,NC6003,데이터마이닝,1,전선,박남훈,3,1,2,"금(1,2,3) 수리관(F)-402",타과제한
3,NC6005,딥러닝응용,1,전선,정의현,3,1,2,"화(5,6,7) 수리관(F)-402",타과제한
3,NC6002,머신러닝최신기술특론,1,전선,양선욱,3,1,2,"목(6,7,8) 수리관(F)-402",타과제한
3,NC6001,지능형데이터베이스,1,전선,윤성춘,3,1,2,"금(5,6,7) 수리관(F)-402",타과제한
3,NC6000,컴퓨터비전심화,1,전선,한수영,3,1,2,"수(5,6,7) 수리관(F)-402",타과제한
