,개설학년,과목코드,과목명,분반,이수구분,교원명,학점,이론,실습,시간표,비고
0,1,KC2010,관광법규,1,전필,윤재호,3,3,0,"금(7,8,9) 수리관(A)-404",
1,1,KC2009,관광사업론,1,전선,강준수,3,3,0,"화(8,9) 수봉관(F)-1203, 목(6) 수리관(A)-407",
2,2,KC4020,관광명소의이해,1,전선,김태균,3,2,1,"목(1,2,3) 대신관(C)-507",
3,2,KC4015,관광일본어 II,1,전선,한수정,3,2,1,"월(4,5,6) 수리관(A)-406",
4,2,KC4015,관광일본어 II,2,전선,한수정,3,2,1,"화(7,8,9) 수리관(A)-406",
5,2,KC4021,관광재무의이해,1,전선,강준수,3,2,1,"수(5,6) 수리관(A)-407, 목(5) 수리관(A)-407",
6,2,KC4013,식음료경영론,1,전선,황성식,3,2,1,"수(1,2,3) 수리관(A)-405",
7,2,KC4013,식음료경영론,2,전선,황성식,3,2,1,"수(7,8,9) 수리관(A)-405",
8,2,KC4019,외식경영론,1,전선,손현종,3,2,1,"월(3) 수리관(A)-407, 화(5,6) 수리관(A)-407",
9,2,KC4018,전공세미나 II:전공글쓰기,1,전선,윤재호,1,1,0,금(6) 수리관(A)-407,
10,3,KC5015,관광경영정보시스템,1,전선,한수정,3,1,2,"월(7,8,9) 수리관(A)-406",
11,3,KC5015,관광경영정보시스템,2,전선,한수정,3,1,2,"화(4,5,6) 수리관(A)-406",
12,3,AC5013,관광교과교재연구및지도법,1,전선,박철호,3,2,1,"월(7,8,9) 수리관(A)-405",
13,3,KC6040,관광서비스경영론,1,전선,한수정,3,3,0,"수(4) 수리관(A)-406, 목(1,2) 수리관(A)-406",
14,3,KC6063,관광융합콘텐츠,1,전선,김태균,3,2,1,"목(7,8,9) 대신관(C)-507",
15,3,KC6064,관광창업마케팅,1,전선,황성식,3,2,1,"화(7,8,9) 대신관(C)-503",
16,3,KC6045,여행사경영론,1,전선,강준수,3,2,1,"수(2,3) 수리관(A)-407, 목(4) 수리관(A)-407",
17,3,KC4001,호텔경영론,1,전선,손현종,3,2,1,"화(3) 수리관(A)-407, 목(5,6) 수봉관(F)-1203",
18,4,KC8022,관광창업연구 II,1,전선,박철호,3,2,1,"화(7,8,9) 수리관(A)-407",
