,개설학년,과목코드,과목명,분반,이수구분,교원명,학점,이론,실습,시간표,비고
0,1,NA2015,인공지능개론,1,전선,송인식,3,2,1,"금(1,2,3) 아리관(N)-301",타과제한
1,1,NA2015,인공지능개론,2,전선,송인식,3,2,1,"금(1,2,3) 아리관(N)-301",타과제한
2,1,NA2016,프로그래밍응용,1,전선,이상홍,3,1,2,"화(6,7) 아리관(N)-607, 수(2) 아리관(N)-607",타과제한
3,1,NA2016,프로그래밍응용,2,전선,이상홍,3,1,2,"화(8,9) 아리관(N)-607, 수(3) 아리관(N)-607",타과제한
4,2,NA3025,객체지향프로그래밍,1,전선,이상홍,3,1,2,"월(4,5) 아리관(N)-301, 금(2) 아리관(N)-607",타과제한
5,2,NA3025,객체지향프로그래밍,2,전선,이상홍,3,1,2,"월(6,7) 아리관(N)-301, 금(3) 아리관(N)-607",타과제한
6,2,NA4028,시스템프로그래밍,1,전선,권희용,3,1,2,"수(3) 아리관(N)-301, 토(1,2) 아리관(N)-301",타과제한
7,2,NA4028,시스템프로그래밍,2,전선,권희용,3,1,2,"목(3) 아리관(N)-301, 토(3,4) 아리관(N)-301",타과제한
8,2,NA4032,웹프로그래밍,1,전선,박성순,3,1,2,"월(9) 아리관(N)-301, 수(4,5) 아리관(N)-301",타과제한
9,2,NA4032,웹프로그래밍,2,전선,박성순,3,1,2,"화(7) 아리관(N)-301, 목(4,5) 아리관(N)-301",타과제한
10,2,NA4035,파이선파일처리,1,전선,김성규,3,1,2,"화(8,9) 아리관(N)-301, 목(9) 아리관(N)-301",타과제한
11,3,NA6039,JAVA프로그래밍,1,전선,박성순,3,1,2,"화(8) 아리관(N)-306, 토(5,6) 아리관(N)-301",타과제한
12,3,NA6039,JAVA프로그래밍,2,전선,박성순,3,1,2,"화(9) 아리관(N)-306, 토(7,8) 아리관(N)-301",타과제한
13,3,NA6042,리녹스프로그래밍,1,전선,하은용,3,1,2,"화(5) 아리관(N)-306, 수(3,4) 아리관(N)-306",타과제한
14,3,NA6042,리녹스프로그래밍,2,전선,하은용,3,1,2,"화(6) 아리관(N)-306, 목(3,4) 아리관(N)-306",타과제한
15,3,NA6038,소프트웨어공학,1,전선,김성규,3,2,1,"월(9) 아리관(N)-306, 토(9,10) 아리관(N)-301",타과제한
16,3,NA5057,전공세미나II:전공글쓰기,1,전선,김성규,1,1,0,목(8) 아리관(N)-301,타과제한
17,3,NA6046,전공세미나IV:취업역량강화,1,전선,하은용,1,1,0,목(5) 아리관(N)-306,타과제한
18,3,NA6013,컴퓨터그래픽스,1,전선,권희용,3,1,2,"화(3) 아리관(N)-306, 금(2,3) 아리관(N)-306",타과제한
19,3,NA5029,컴퓨터네트워크,1,전선,이상홍,3,2,1,"월(2,3) 아리관(N)-101, 토(15) 아리관(N)-301",타과제한
